Started at  2016-07-22 14:15:55.930817 
Rcpp  version is  0.12.6.2 
RcppArmadillo  version is  0.7.200.2.0 
R version 3.3.1 (2016-06-21) -- "Bug in Your Hair" 
  [1] "AbsFilterGSEA"        "ACEt"                 "AdaptiveSparsity"     "AHR"                  "Amelia"               "arrApply"             "ASPBay"               "aSPU"                
  [9] "BaBooN"               "BacArena"             "BayesComm"            "bayesm"               "bayou"                "bcp"                  "bfa"                  "BIFIEsurvey"         
 [17] "biglasso"             "BigVAR"               "BIPOD"                "blockmodels"          "blockseg"             "bootTimeInference"    "BTLLasso"             "bvarsv"              
 [25] "ccaPP"                "cccp"                 "cda"                  "CDM"                  "CFC"                  "ChannelAttribution"   "cIRT"                 "cladoRcpp"           
 [33] "coala"                "coneproj"             "copCAR"               "cord"                 "Countr"               "CoxPlus"              "crawl"                "Crossover"           
 [41] "DepthProc"            "dfcomb"               "dfmta"                "DiffusionRgqd"        "DiffusionRimp"        "DiffusionRjgqd"       "dina"                 "dnc"                 
 [49] "drgee"                "ECctmc"               "EloChoice"            "emIRT"                "EPGLM"                "EstHer"               "evolqg"               "FastBandChol"        
 [57] "fastM"                "FBFsearch"            "fdaMixed"             "FDRreg"               "FIACH"                "fICA"                 "FisHiCal"             "flip"                
 [65] "forecast"             "fourierin"            "fourPNO"              "FRESA.CAD"            "gaselect"             "GeneticTools"         "geoCount"             "GERGM"               
 [73] "GiRaF"                "gjam"                 "glamlasso"            "glcm"                 "glmBfp"               "glmgraph"             "GMCM"                 "Gmedian"             
 [81] "gmum.r"               "gmwm"                 "gMWT"                 "GPvam"                "gRain"                "graphicalVAR"         "gRbase"               "gRim"                
 [89] "growcurves"           "growfunctions"        "GSE"                  "hawkes"               "hkevp"                "HLMdiag"              "HSAR"                 "hsphase"             
 [97] "hypervolume"          "iBATCGH"              "icamix"               "iccbeta"              "iLaplace"             "immer"                "JAGUAR"               "jmcm"                
[105] "jmotif"               "kdecopula"            "KernelKnn"            "Langevin"             "lpme"                 "lsgl"                 "Luminescence"         "markophylo"          
[113] "markovchain"          "MAT"                  "matchingMarkets"      "matchingR"            "MatrixCorrelation"    "mcemGLM"              "mcIRT"                "mcmcse"              
[121] "MESS"                 "metafolio"            "mets"                 "mev"                  "milr"                 "minimaxdesign"        "mirt"                 "mirtCAT"             
[129] "miscF"                "MiSPU"                "MixedDataImpute"      "mixedMem"             "mixpack"              "Morpho"               "moveHMM"              "mp"                  
[137] "Mposterior"           "MRS"                  "msgl"                 "MVB"                  "mvcluster"            "mvnfast"              "netcoh"               "netdiffuseR"         
[145] "ngspatial"            "NNLM"                 "NPflow"               "oem"                  "onlinePCA"            "OpenImageR"           "PACVB"                "PanelCount"          
[153] "pcalg"                "PedCNV"               "PenCoxFrail"          "perccal"              "phylocurve"           "phylosignal"          "planar"               "polyfreqs"           
[161] "PoweR"                "PPtreeViz"            "prospectr"            "prototest"            "psd"                  "psgp"                 "PWD"                  "quadrupen"           
[169] "quanteda"             "rags2ridges"          "ragt2ridges"          "Rborist"              "RcppDE"               "RcppMLPACK"           "rcss"                 "RealVAMS"            
[177] "redist"               "regsem"               "repolr"               "resemble"             "revealedPrefs"        "Rfast"                "rflann"               "rgam"                
[185] "rmgarch"              "robustgam"            "robustHD"             "robustreg"            "roll"                 "rotations"            "Rphylopars"           "rstpm2"              
[193] "rugarch"              "Rvcg"                 "saeRobust"            "SAMM"                 "sbfc"                 "sbmSDP"               "SBSA"                 "SelvarMix"           
[201] "seqHMM"               "sgd"                  "sglOptim"             "sirt"                 "slfm"                 "smoof"                "snipEM"               "sourceR"             
[209] "SparseFactorAnalysis" "sparsereg"            "SpatialEpi"           "SpatialTools"         "SpatMCA"              "SpatPCA"              "spBayesSurv"          "spduration"          
[217] "starma"               "stm"                  "stochvol"             "stpm"                 "strum"                "survAccuracyMeasures" "surveybootstrap"      "SVMMatch"            
[225] "synlik"               "TAM"                  "TauStar"              "TED"                  "tensorBSS"            "textmineR"            "timma"                "treeclim"            
[233] "tsBSS"                "unmarked"             "VarSelLCM"            "wCorr"                "zic"                 

RESULT for AbsFilterGSEA_1.2.1.tar.gz : failure (1 of 237, 0 good, 1 bad) -- Now 14:16:05 This 3.6 sec, Avg 3.6 sec, exp. finish in 14.3 min at 14:30:23 on 22-Jul-2016
RESULT for bootTimeInference_0.1.0.tar.gz : success (22 of 237, 21 good, 1 bad) -- Now 14:30:10 This 22.4 sec, Avg 38.6 sec, exp. finish in 138.3 min at 16:48:25 on 22-Jul-2016

RESULT for BTLLasso_0.1-2.tar.gz : success (23 of 237, 22 good, 1 bad) -- Now 14:30:47 This 37 sec, Avg 38.5 sec, exp. finish in 137.4 min at 16:48:09 on 22-Jul-2016

RESULT for bvarsv_1.1.tar.gz : success (24 of 237, 23 good, 1 bad) -- Now 14:31:06 This 19.3 sec, Avg 37.7 sec, exp. finish in 133.9 min at 16:44:59 on 22-Jul-2016

RESULT for ccaPP_0.3.2.tar.gz : success (25 of 237, 24 good, 1 bad) -- Now 14:31:33 This 26.9 sec, Avg 37.3 sec, exp. finish in 131.7 min at 16:43:16 on 22-Jul-2016

RESULT for cccp_0.2-4.tar.gz : success (26 of 237, 25 good, 1 bad) -- Now 14:32:33 This 59.6 sec, Avg 38.1 sec, exp. finish in 134.1 min at 16:46:39 on 22-Jul-2016

RESULT for cda_1.5.1.tar.gz : success (27 of 237, 26 good, 1 bad) -- Now 14:33:03 This 30.5 sec, Avg 37.9 sec, exp. finish in 132.5 min at 16:45:33 on 22-Jul-2016

RESULT for CDM_5.0-0.tar.gz : success (28 of 237, 27 good, 1 bad) -- Now 14:34:03 This 59.6 sec, Avg 38.6 sec, exp. finish in 134.6 min at 16:48:37 on 22-Jul-2016

RESULT for CFC_1.0.1.tar.gz : success (29 of 237, 28 good, 1 bad) -- Now 14:34:36 This 33.1 sec, Avg 38.4 sec, exp. finish in 133.3 min at 16:47:51 on 22-Jul-2016

RESULT for ChannelAttribution_1.7.tar.gz : success (30 of 237, 29 good, 1 bad) -- Now 14:34:53 This 17.1 sec, Avg 37.7 sec, exp. finish in 130.2 min at 16:45:03 on 22-Jul-2016

RESULT for cIRT_1.2.0.tar.gz : success (31 of 237, 30 good, 1 bad) -- Now 14:35:16 This 23.1 sec, Avg 37.3 sec, exp. finish in 127.9 min at 16:43:11 on 22-Jul-2016

RESULT for cladoRcpp_0.14.4.tar.gz : success (32 of 237, 31 good, 1 bad) -- Now 14:35:33 This 17.3 sec, Avg 36.6 sec, exp. finish in 125.2 min at 16:40:44 on 22-Jul-2016

RESULT for coala_0.4.0.tar.gz : success (33 of 237, 32 good, 1 bad) -- Now 14:36:15 This 41.2 sec, Avg 36.8 sec, exp. finish in 125 min at 16:41:16 on 22-Jul-2016

RESULT for coneproj_1.10.tar.gz : success (34 of 237, 33 good, 1 bad) -- Now 14:36:35 This 20.1 sec, Avg 36.3 sec, exp. finish in 122.8 min at 16:39:20 on 22-Jul-2016

RESULT for copCAR_1.0-2.tar.gz : success (35 of 237, 34 good, 1 bad) -- Now 14:36:56 This 21.2 sec, Avg 35.9 sec, exp. finish in 120.7 min at 16:37:38 on 22-Jul-2016

RESULT for cord_0.1.1.tar.gz : success (36 of 237, 35 good, 1 bad) -- Now 14:37:13 This 16.9 sec, Avg 35.3 sec, exp. finish in 118.3 min at 16:35:33 on 22-Jul-2016

RESULT for Countr_3.2.0.tar.gz : success (37 of 237, 36 good, 1 bad) -- Now 14:38:15 This 62.3 sec, Avg 36.1 sec, exp. finish in 120.2 min at 16:38:26 on 22-Jul-2016

RESULT for CoxPlus_1.1.1.tar.gz : success (38 of 237, 37 good, 1 bad) -- Now 14:38:43 This 28.2 sec, Avg 35.8 sec, exp. finish in 118.9 min at 16:37:37 on 22-Jul-2016

RESULT for crawl_2.0.tar.gz : success (39 of 237, 38 good, 1 bad) -- Now 14:39:20 This 36.4 sec, Avg 35.9 sec, exp. finish in 118.3 min at 16:37:40 on 22-Jul-2016

RESULT for Crossover_0.1-15.tar.gz : success (40 of 237, 39 good, 1 bad) -- Now 14:40:28 This 68.4 sec, Avg 36.7 sec, exp. finish in 120.4 min at 16:40:53 on 22-Jul-2016

RESULT for DepthProc_1.0.7.tar.gz : success (41 of 237, 40 good, 1 bad) -- Now 14:41:15 This 47.3 sec, Avg 36.9 sec, exp. finish in 120.7 min at 16:41:55 on 22-Jul-2016

RESULT for dfcomb_2.1-6.tar.gz : success (42 of 237, 41 good, 1 bad) -- Now 14:41:37 This 21.4 sec, Avg 36.6 sec, exp. finish in 118.8 min at 16:40:27 on 22-Jul-2016

RESULT for dfmta_1.3-4.tar.gz : success (43 of 237, 42 good, 1 bad) -- Now 14:41:55 This 18.4 sec, Avg 36.1 sec, exp. finish in 116.9 min at 16:38:47 on 22-Jul-2016

RESULT for DiffusionRgqd_0.1.2.tar.gz : success (44 of 237, 43 good, 1 bad) -- Now 14:42:25 This 29.4 sec, Avg 36 sec, exp. finish in 115.8 min at 16:38:10 on 22-Jul-2016

RESULT for DiffusionRimp_0.1.0.tar.gz : success (45 of 237, 44 good, 1 bad) -- Now 14:42:45 This 20.2 sec, Avg 35.6 sec, exp. finish in 114 min at 16:36:47 on 22-Jul-2016

RESULT for DiffusionRjgqd_0.1.0.tar.gz : success (46 of 237, 45 good, 1 bad) -- Now 14:43:12 This 27.4 sec, Avg 35.5 sec, exp. finish in 112.9 min at 16:36:05 on 22-Jul-2016

RESULT for dina_1.0.1.tar.gz : success (47 of 237, 46 good, 1 bad) -- Now 14:43:29 This 16.6 sec, Avg 35.1 sec, exp. finish in 111 min at 16:34:30 on 22-Jul-2016

RESULT for dnc_1.2.tar.gz : success (48 of 237, 47 good, 1 bad) -- Now 14:45:21 This 112.5 sec, Avg 36.7 sec, exp. finish in 115.5 min at 16:40:52 on 22-Jul-2016

RESULT for drgee_1.1.5.tar.gz : success (49 of 237, 48 good, 1 bad) -- Now 14:45:56 This 34.2 sec, Avg 36.6 sec, exp. finish in 114.7 min at 16:40:40 on 22-Jul-2016

RESULT for ECctmc_0.2.1.tar.gz : success (50 of 237, 49 good, 1 bad) -- Now 14:46:13 This 17.8 sec, Avg 36.2 sec, exp. finish in 113 min at 16:39:11 on 22-Jul-2016

RESULT for EloChoice_0.29.tar.gz : success (51 of 237, 50 good, 1 bad) -- Now 14:46:34 This 20.6 sec, Avg 35.9 sec, exp. finish in 111.4 min at 16:37:58 on 22-Jul-2016

RESULT for emIRT_0.0.6.tar.gz : success (52 of 237, 51 good, 1 bad) -- Now 14:49:10 This 155.9 sec, Avg 38.2 sec, exp. finish in 117.9 min at 16:47:05 on 22-Jul-2016

RESULT for EPGLM_1.1.1.tar.gz : success (53 of 237, 52 good, 1 bad) -- Now 14:49:29 This 19.5 sec, Avg 37.9 sec, exp. finish in 116.2 min at 16:45:41 on 22-Jul-2016

RESULT for EstHer_1.0.tar.gz : success (54 of 237, 53 good, 1 bad) -- Now 14:50:03 This 34 sec, Avg 37.8 sec, exp. finish in 115.3 min at 16:45:24 on 22-Jul-2016

RESULT for evolqg_0.2-4.tar.gz : failure (55 of 237, 53 good, 2 bad) -- Now 14:51:33 This 89.2 sec, Avg 38.8 sec, exp. finish in 117.6 min at 16:49:06 on 22-Jul-2016

RESULT for FastBandChol_0.1.1.tar.gz : success (56 of 237, 54 good, 2 bad) -- Now 14:51:48 This 15.8 sec, Avg 38.3 sec, exp. finish in 115.7 min at 16:47:28 on 22-Jul-2016

RESULT for fastM_0.0-2.tar.gz : success (57 of 237, 55 good, 2 bad) -- Now 14:52:09 This 20.8 sec, Avg 38 sec, exp. finish in 114.1 min at 16:46:16 on 22-Jul-2016

RESULT for FBFsearch_1.0.tar.gz : success (58 of 237, 56 good, 2 bad) -- Now 14:52:29 This 19.3 sec, Avg 37.7 sec, exp. finish in 112.5 min at 16:44:59 on 22-Jul-2016

RESULT for fdaMixed_0.4.tar.gz : success (59 of 237, 57 good, 2 bad) -- Now 14:52:59 This 30.7 sec, Avg 37.6 sec, exp. finish in 111.5 min at 16:44:31 on 22-Jul-2016

RESULT for FDRreg_0.1.tar.gz : success (60 of 237, 58 good, 2 bad) -- Now 14:53:36 This 37 sec, Avg 37.6 sec, exp. finish in 110.9 min at 16:44:29 on 22-Jul-2016

RESULT for FIACH_0.1.2.tar.gz : success (61 of 237, 59 good, 2 bad) -- Now 14:54:04 This 27.5 sec, Avg 37.4 sec, exp. finish in 109.8 min at 16:43:50 on 22-Jul-2016

RESULT for fICA_1.0-3.tar.gz : success (62 of 237, 60 good, 2 bad) -- Now 14:54:26 This 22.8 sec, Avg 37.2 sec, exp. finish in 108.5 min at 16:42:53 on 22-Jul-2016

RESULT for FisHiCal_1.1.tar.gz : success (63 of 237, 61 good, 2 bad) -- Now 14:54:44 This 17.9 sec, Avg 36.9 sec, exp. finish in 106.9 min at 16:41:41 on 22-Jul-2016

RESULT for flip_2.4.3.tar.gz : success (64 of 237, 62 good, 2 bad) -- Now 14:55:22 This 37.3 sec, Avg 36.9 sec, exp. finish in 106.3 min at 16:41:43 on 22-Jul-2016

RESULT for forecast_7.1.tar.gz : success (65 of 237, 63 good, 2 bad) -- Now 14:56:57 This 95.4 sec, Avg 37.8 sec, exp. finish in 108.3 min at 16:45:16 on 22-Jul-2016

RESULT for fourierin_0.1.2.tar.gz : success (66 of 237, 64 good, 2 bad) -- Now 14:57:23 This 26.1 sec, Avg 37.6 sec, exp. finish in 107.2 min at 16:44:34 on 22-Jul-2016

RESULT for fourPNO_1.0.3.tar.gz : success (67 of 237, 65 good, 2 bad) -- Now 14:57:42 This 18.6 sec, Avg 37.3 sec, exp. finish in 105.8 min at 16:43:27 on 22-Jul-2016

RESULT for FRESA.CAD_2.2.0.tar.gz : success (68 of 237, 66 good, 2 bad) -- Now 14:58:37 This 55.2 sec, Avg 37.6 sec, exp. finish in 105.9 min at 16:44:29 on 22-Jul-2016

RESULT for gaselect_1.0.5.tar.gz : success (69 of 237, 67 good, 2 bad) -- Now 14:59:25 This 48.2 sec, Avg 37.7 sec, exp. finish in 105.7 min at 16:45:05 on 22-Jul-2016

RESULT for GeneticTools_0.3.1.tar.gz : success (70 of 237, 68 good, 2 bad) -- Now 15:00:07 This 42.1 sec, Avg 37.8 sec, exp. finish in 105.2 min at 16:45:20 on 22-Jul-2016

RESULT for geoCount_1.150120.tar.gz : success (71 of 237, 69 good, 2 bad) -- Now 15:00:41 This 33.8 sec, Avg 37.7 sec, exp. finish in 104.4 min at 16:45:07 on 22-Jul-2016

RESULT for GERGM_0.7.4.tar.gz : success (72 of 237, 70 good, 2 bad) -- Now 15:01:05 This 23.8 sec, Avg 37.6 sec, exp. finish in 103.3 min at 16:44:21 on 22-Jul-2016

RESULT for GiRaF_1.0.tar.gz : success (73 of 237, 71 good, 2 bad) -- Now 15:01:37 This 32.5 sec, Avg 37.5 sec, exp. finish in 102.5 min at 16:44:04 on 22-Jul-2016

RESULT for gjam_1.0.tar.gz : success (74 of 237, 72 good, 2 bad) -- Now 15:02:08 This 30.5 sec, Avg 37.4 sec, exp. finish in 101.6 min at 16:43:42 on 22-Jul-2016

RESULT for glamlasso_1.0.tar.gz : success (75 of 237, 73 good, 2 bad) -- Now 15:02:31 This 23.2 sec, Avg 37.2 sec, exp. finish in 100.4 min at 16:42:57 on 22-Jul-2016

RESULT for glcm_1.6.1.tar.gz : success (76 of 237, 74 good, 2 bad) -- Now 15:02:51 This 20.4 sec, Avg 37 sec, exp. finish in 99.2 min at 16:42:05 on 22-Jul-2016

RESULT for glmBfp_0.0-48.tar.gz : success (77 of 237, 75 good, 2 bad) -- Now 15:03:58 This 66.3 sec, Avg 37.4 sec, exp. finish in 99.6 min at 16:43:35 on 22-Jul-2016

RESULT for glmgraph_1.0.3.tar.gz : success (78 of 237, 76 good, 2 bad) -- Now 15:04:42 This 44.2 sec, Avg 37.4 sec, exp. finish in 99.2 min at 16:43:56 on 22-Jul-2016

RESULT for GMCM_1.2.3.tar.gz : success (79 of 237, 77 good, 2 bad) -- Now 15:05:17 This 34.7 sec, Avg 37.4 sec, exp. finish in 98.5 min at 16:43:48 on 22-Jul-2016

RESULT for Gmedian_1.2.1.tar.gz : success (80 of 237, 78 good, 2 bad) -- Now 15:05:55 This 38.2 sec, Avg 37.4 sec, exp. finish in 97.9 min at 16:43:50 on 22-Jul-2016

RESULT for gmum.r_0.2.1.tar.gz : success (81 of 237, 79 good, 2 bad) -- Now 15:07:45 This 109.9 sec, Avg 38.3 sec, exp. finish in 99.6 min at 16:47:22 on 22-Jul-2016

RESULT for gmwm_2.0.0.tar.gz : success (82 of 237, 80 good, 2 bad) -- Now 15:09:20 This 95.2 sec, Avg 39 sec, exp. finish in 100.8 min at 16:50:07 on 22-Jul-2016

RESULT for gMWT_1.0.tar.gz : success (83 of 237, 81 good, 2 bad) -- Now 15:09:48 This 28.2 sec, Avg 38.9 sec, exp. finish in 99.8 min at 16:49:36 on 22-Jul-2016

RESULT for GPvam_3.0-3.tar.gz : success (84 of 237, 82 good, 2 bad) -- Now 15:10:28 This 39.6 sec, Avg 38.9 sec, exp. finish in 99.2 min at 16:49:38 on 22-Jul-2016

RESULT for gRain_1.2-5.tar.gz : success (85 of 237, 83 good, 2 bad) -- Now 15:11:13 This 45.2 sec, Avg 39 sec, exp. finish in 98.7 min at 16:49:55 on 22-Jul-2016

RESULT for graphicalVAR_0.1.4.tar.gz : success (86 of 237, 84 good, 2 bad) -- Now 15:12:00 This 46.6 sec, Avg 39.1 sec, exp. finish in 98.3 min at 16:50:16 on 22-Jul-2016

RESULT for gRbase_1.7-5.tar.gz : success (87 of 237, 85 good, 2 bad) -- Now 15:13:18 This 78.1 sec, Avg 39.5 sec, exp. finish in 98.8 min at 16:52:03 on 22-Jul-2016

RESULT for gRim_0.1-17.tar.gz : success (88 of 237, 86 good, 2 bad) -- Now 15:14:03 This 45.7 sec, Avg 39.6 sec, exp. finish in 98.3 min at 16:52:20 on 22-Jul-2016

RESULT for growcurves_0.2.4.0.tar.gz : success (89 of 237, 87 good, 2 bad) -- Now 15:15:48 This 104.1 sec, Avg 40.3 sec, exp. finish in 99.4 min at 16:55:11 on 22-Jul-2016

RESULT for growfunctions_0.12.tar.gz : success (90 of 237, 88 good, 2 bad) -- Now 15:17:17 This 89.1 sec, Avg 40.8 sec, exp. finish in 100.1 min at 16:57:20 on 22-Jul-2016

RESULT for GSE_3.3.tar.gz : success (91 of 237, 89 good, 2 bad) -- Now 15:17:47 This 30.7 sec, Avg 40.7 sec, exp. finish in 99.1 min at 16:56:53 on 22-Jul-2016

RESULT for hawkes_0.0-4.tar.gz : success (92 of 237, 90 good, 2 bad) -- Now 15:18:04 This 17 sec, Avg 40.5 sec, exp. finish in 97.8 min at 16:55:52 on 22-Jul-2016

RESULT for hkevp_1.1.2.tar.gz : success (93 of 237, 91 good, 2 bad) -- Now 15:18:33 This 28.8 sec, Avg 40.3 sec, exp. finish in 96.8 min at 16:55:22 on 22-Jul-2016

RESULT for HLMdiag_0.3.1.tar.gz : success (94 of 237, 92 good, 2 bad) -- Now 15:19:26 This 53.2 sec, Avg 40.5 sec, exp. finish in 96.5 min at 16:55:55 on 22-Jul-2016

