Started at  2016-03-11 16:08:49.568533 
Rcpp  version is  0.12.3.2 
RcppArmadillo  version is  0.6.600.2.1 
R version 3.2.3 (2015-12-10) -- "Wooden Christmas-Tree" 
  [1] "AbsFilterGSEA"        "ACEt"                 "AdaptiveSparsity"     "AHR"                  "Amelia"               "arrApply"            
  [7] "ASPBay"               "aSPU"                 "BaBooN"               "BacArena"             "BayesComm"            "bayesm"              
 [13] "bayou"                "bcp"                  "bfa"                  "BIFIEsurvey"          "biglasso"             "BIPOD"               
 [19] "blockmodels"          "blockseg"             "BTLLasso"             "bvarsv"               "ccaPP"                "cccp"                
 [25] "cda"                  "CDM"                  "CFC"                  "ChannelAttribution"   "cIRT"                 "cladoRcpp"           
 [31] "coala"                "coneproj"             "copCAR"               "cord"                 "CoxPlus"              "crawl"               
 [37] "Crossover"            "DepthProc"            "dfcomb"               "dfmta"                "DiffusionRgqd"        "DiffusionRjgqd"      
 [43] "dina"                 "drgee"                "ECctmc"               "EloChoice"            "emIRT"                "EPGLM"               
 [49] "EstHer"               "FastBandChol"         "fastM"                "FBFsearch"            "fdaMixed"             "FDRreg"              
 [55] "FIACH"                "fICA"                 "FisHiCal"             "flip"                 "forecast"             "fourPNO"             
 [61] "FRESA.CAD"            "gaselect"             "GeneticTools"         "geoCount"             "GERGM"                "GiRaF"               
 [67] "gjam"                 "glamlasso"            "glcm"                 "glmgraph"             "GMCM"                 "gmum.r"              
 [73] "gmwm"                 "gMWT"                 "GPvam"                "gRain"                "graphicalVAR"         "gRbase"              
 [79] "gRim"                 "growcurves"           "growfunctions"        "GSE"                  "hawkes"               "HLMdiag"             
 [85] "HSAR"                 "hsphase"              "hypervolume"          "iBATCGH"              "icamix"               "iccbeta"             
 [91] "iLaplace"             "immer"                "JAGUAR"               "jmcm"                 "jmotif"               "kdecopula"           
 [97] "Langevin"             "lpme"                 "lsgl"                 "Luminescence"         "markophylo"           "markovchain"         
[103] "MAT"                  "matchingMarkets"      "matchingR"            "mcemGLM"              "mcIRT"                "mcmcse"              
[109] "metafolio"            "mets"                 "mev"                  "mirt"                 "mirtCAT"              "miscF"               
[115] "MixedDataImpute"      "mixedMem"             "mixpack"              "Morpho"               "moveHMM"              "mp"                  
[121] "Mposterior"           "MRIaggr"              "MRS"                  "msgl"                 "MVB"                  "mvnfast"             
[127] "netcoh"               "netdiffuseR"          "ngspatial"            "NNLM"                 "oem"                  "onlinePCA"           
[133] "PACVB"                "PanelCount"           "pcalg"                "PedCNV"               "phylosignal"          "planar"              
[139] "polyfreqs"            "PoweR"                "PPtreeViz"            "prospectr"            "prototest"            "psd"                 
[145] "psgp"                 "PWD"                  "quadrupen"            "quanteda"             "rags2ridges"          "Rborist"             
[151] "rcppbugs"             "RcppDE"               "RcppMLPACK"           "RealVAMS"             "redist"               "repolr"              
[157] "resemble"             "revealedPrefs"        "rgam"                 "rmgarch"              "robustgam"            "robustHD"            
[163] "robustreg"            "rotations"            "Rphylopars"           "rstpm2"               "rugarch"              "sbmSDP"              
[169] "SBSA"                 "SelvarMix"            "seqHMM"               "sgd"                  "sglOptim"             "sirt"                
[175] "slfm"                 "smoof"                "snipEM"               "SparseFactorAnalysis" "sparsereg"            "SpatialEpi"          
[181] "SpatialTools"         "SpatPCA"              "spBayesSurv"          "spduration"           "starma"               "stm"                 
[187] "stochvol"             "stpm"                 "strum"                "survAccuracyMeasures" "SVMMatch"             "synlik"              
[193] "TAM"                  "TauStar"              "TED"                  "textmineR"            "timma"                "treeclim"            
[199] "tsBSS"                "unmarked"             "VarSelLCM"            "zic"                 

RESULT for AbsFilterGSEA_0.1.tar.gz : success (1 of 202, 1 good, 0 bad) -- Now 16:09:26 This 30.8 sec, Avg 30.8 sec, exp. finish in 103.2 min at 17:52:38 on 11-Mar-2016
RESULT for CDM_4.8-0.tar.gz : success (26 of 202, 26 good, 0 bad) -- Now 16:42:30 This 114.9 sec, Avg 77.5 sec, exp. finish in 227.3 min at 20:29:49 on 11-Mar-2016

RESULT for CFC_1.0.1.tar.gz : success (27 of 202, 27 good, 0 bad) -- Now 16:43:03 This 33.1 sec, Avg 75.8 sec, exp. finish in 221.2 min at 20:24:17 on 11-Mar-2016

RESULT for ChannelAttribution_1.5.tar.gz : success (28 of 202, 28 good, 0 bad) -- Now 16:43:32 This 28.4 sec, Avg 74.2 sec, exp. finish in 215.1 min at 20:18:35 on 11-Mar-2016

RESULT for cIRT_1.1.0.tar.gz : success (29 of 202, 29 good, 0 bad) -- Now 16:44:14 This 42.9 sec, Avg 73.1 sec, exp. finish in 210.7 min at 20:14:57 on 11-Mar-2016

RESULT for cladoRcpp_0.14.4.tar.gz : success (30 of 202, 30 good, 0 bad) -- Now 16:44:43 This 28.2 sec, Avg 71.6 sec, exp. finish in 205.2 min at 20:09:54 on 11-Mar-2016

RESULT for coala_0.4.0.tar.gz : success (31 of 202, 31 good, 0 bad) -- Now 16:46:06 This 83.3 sec, Avg 72 sec, exp. finish in 205.1 min at 20:11:10 on 11-Mar-2016

RESULT for coneproj_1.9.tar.gz : success (32 of 202, 32 good, 0 bad) -- Now 16:46:40 This 34.4 sec, Avg 70.8 sec, exp. finish in 200.6 min at 20:07:14 on 11-Mar-2016

RESULT for copCAR_1.0-1.tar.gz : success (33 of 202, 33 good, 0 bad) -- Now 16:47:16 This 35.5 sec, Avg 69.7 sec, exp. finish in 196.4 min at 20:03:38 on 11-Mar-2016

RESULT for cord_0.1.1.tar.gz : success (34 of 202, 34 good, 0 bad) -- Now 16:47:44 This 28.2 sec, Avg 68.5 sec, exp. finish in 191.8 min at 19:59:31 on 11-Mar-2016

RESULT for CoxPlus_1.1.1.tar.gz : success (35 of 202, 35 good, 0 bad) -- Now 16:48:34 This 49.7 sec, Avg 68 sec, exp. finish in 189.1 min at 19:57:42 on 11-Mar-2016

RESULT for crawl_2.0.tar.gz : success (36 of 202, 36 good, 0 bad) -- Now 16:49:46 This 72.6 sec, Avg 68.1 sec, exp. finish in 188.4 min at 19:58:08 on 11-Mar-2016

RESULT for Crossover_0.1-15.tar.gz : success (37 of 202, 37 good, 0 bad) -- Now 16:51:57 This 130.8 sec, Avg 69.8 sec, exp. finish in 191.9 min at 20:03:51 on 11-Mar-2016

RESULT for DepthProc_1.0.7.tar.gz : success (38 of 202, 38 good, 0 bad) -- Now 16:53:35 This 97.8 sec, Avg 70.5 sec, exp. finish in 192.8 min at 20:06:20 on 11-Mar-2016

RESULT for dfcomb_2.1-5.tar.gz : success (39 of 202, 39 good, 0 bad) -- Now 16:54:11 This 36.1 sec, Avg 69.6 sec, exp. finish in 189.2 min at 20:03:21 on 11-Mar-2016

RESULT for dfmta_1.3-3.tar.gz : success (40 of 202, 40 good, 0 bad) -- Now 16:54:40 This 28.9 sec, Avg 68.6 sec, exp. finish in 185.3 min at 19:59:56 on 11-Mar-2016

RESULT for DiffusionRgqd_0.1.2.tar.gz : success (41 of 202, 41 good, 0 bad) -- Now 16:55:37 This 56.7 sec, Avg 68.3 sec, exp. finish in 183.3 min at 19:58:57 on 11-Mar-2016

RESULT for DiffusionRjgqd_0.1.0.tar.gz : success (42 of 202, 42 good, 0 bad) -- Now 16:56:26 This 49.7 sec, Avg 67.9 sec, exp. finish in 181 min at 19:57:28 on 11-Mar-2016

RESULT for dina_1.0.1.tar.gz : success (43 of 202, 43 good, 0 bad) -- Now 16:56:54 This 27.5 sec, Avg 66.9 sec, exp. finish in 177.4 min at 19:54:18 on 11-Mar-2016

RESULT for drgee_1.1.4.tar.gz : success (44 of 202, 44 good, 0 bad) -- Now 16:57:27 This 33.4 sec, Avg 66.2 sec, exp. finish in 174.3 min at 19:51:44 on 11-Mar-2016

RESULT for ECctmc_0.1.0.tar.gz : success (45 of 202, 45 good, 0 bad) -- Now 16:57:56 This 28.6 sec, Avg 65.3 sec, exp. finish in 171 min at 19:48:55 on 11-Mar-2016

RESULT for EloChoice_0.29.tar.gz : success (46 of 202, 46 good, 0 bad) -- Now 16:58:26 This 30 sec, Avg 64.6 sec, exp. finish in 167.9 min at 19:46:20 on 11-Mar-2016

RESULT for emIRT_0.0.5.tar.gz : success (47 of 202, 47 good, 0 bad) -- Now 17:03:52 This 326.7 sec, Avg 70.2 sec, exp. finish in 181.2 min at 20:05:07 on 11-Mar-2016

RESULT for EPGLM_1.1.1.tar.gz : success (48 of 202, 48 good, 0 bad) -- Now 17:04:27 This 34.9 sec, Avg 69.4 sec, exp. finish in 178.2 min at 20:02:38 on 11-Mar-2016

RESULT for EstHer_1.0.tar.gz : success (49 of 202, 49 good, 0 bad) -- Now 17:05:28 This 60.5 sec, Avg 69.2 sec, exp. finish in 176.6 min at 20:02:01 on 11-Mar-2016

RESULT for FastBandChol_0.1.1.tar.gz : success (50 of 202, 50 good, 0 bad) -- Now 17:05:51 This 23.2 sec, Avg 68.3 sec, exp. finish in 173.1 min at 19:58:55 on 11-Mar-2016

RESULT for fastM_0.0-2.tar.gz : success (51 of 202, 51 good, 0 bad) -- Now 17:06:29 This 37.6 sec, Avg 67.7 sec, exp. finish in 170.4 min at 19:56:54 on 11-Mar-2016

RESULT for FBFsearch_1.0.tar.gz : success (52 of 202, 52 good, 0 bad) -- Now 17:07:03 This 34.8 sec, Avg 67.1 sec, exp. finish in 167.7 min at 19:54:46 on 11-Mar-2016

RESULT for fdaMixed_0.4.tar.gz : success (53 of 202, 53 good, 0 bad) -- Now 17:08:07 This 63.3 sec, Avg 67 sec, exp. finish in 166.4 min at 19:54:32 on 11-Mar-2016

RESULT for FDRreg_0.1.tar.gz : success (54 of 202, 54 good, 0 bad) -- Now 17:09:27 This 80.1 sec, Avg 67.3 sec, exp. finish in 165.9 min at 19:55:21 on 11-Mar-2016

RESULT for FIACH_0.1.2.tar.gz : failure (55 of 202, 54 good, 1 bad) -- Now 17:10:17 This 50 sec, Avg 66.9 sec, exp. finish in 164 min at 19:54:18 on 11-Mar-2016

RESULT for fICA_1.0-3.tar.gz : success (56 of 202, 55 good, 1 bad) -- Now 17:10:57 This 40.3 sec, Avg 66.5 sec, exp. finish in 161.7 min at 19:52:42 on 11-Mar-2016

RESULT for FisHiCal_1.1.tar.gz : success (57 of 202, 56 good, 1 bad) -- Now 17:11:26 This 28.4 sec, Avg 65.8 sec, exp. finish in 159 min at 19:50:27 on 11-Mar-2016

RESULT for flip_2.4.3.tar.gz : success (58 of 202, 57 good, 1 bad) -- Now 17:12:34 This 68.3 sec, Avg 65.8 sec, exp. finish in 158 min at 19:50:35 on 11-Mar-2016

RESULT for forecast_6.2.tar.gz : failure (59 of 202, 57 good, 2 bad) -- Now 17:15:30 This 175.8 sec, Avg 67.7 sec, exp. finish in 161.4 min at 19:56:52 on 11-Mar-2016

RESULT for fourPNO_1.0.3.tar.gz : success (60 of 202, 58 good, 2 bad) -- Now 17:16:03 This 33.1 sec, Avg 67.1 sec, exp. finish in 158.9 min at 19:54:55 on 11-Mar-2016

RESULT for FRESA.CAD_2.1.3.tar.gz : success (61 of 202, 59 good, 2 bad) -- Now 17:17:26 This 82.7 sec, Avg 67.4 sec, exp. finish in 158.4 min at 19:55:47 on 11-Mar-2016

RESULT for gaselect_1.0.5.tar.gz : success (62 of 202, 60 good, 2 bad) -- Now 17:19:15 This 109 sec, Avg 68.1 sec, exp. finish in 158.8 min at 19:58:03 on 11-Mar-2016

RESULT for GeneticTools_0.3.1.tar.gz : success (63 of 202, 61 good, 2 bad) -- Now 17:20:32 This 77.3 sec, Avg 68.2 sec, exp. finish in 158 min at 19:58:32 on 11-Mar-2016

RESULT for geoCount_1.150120.tar.gz : success (64 of 202, 62 good, 2 bad) -- Now 17:21:35 This 63.1 sec, Avg 68.1 sec, exp. finish in 156.7 min at 19:58:16 on 11-Mar-2016

RESULT for GERGM_0.7.4.tar.gz : success (65 of 202, 63 good, 2 bad) -- Now 17:22:15 This 39.9 sec, Avg 67.7 sec, exp. finish in 154.6 min at 19:56:48 on 11-Mar-2016

RESULT for GiRaF_1.0.tar.gz : success (66 of 202, 64 good, 2 bad) -- Now 17:23:19 This 63.8 sec, Avg 67.6 sec, exp. finish in 153.3 min at 19:56:36 on 11-Mar-2016

RESULT for gjam_1.0.tar.gz : success (67 of 202, 65 good, 2 bad) -- Now 17:24:16 This 57.4 sec, Avg 67.5 sec, exp. finish in 151.8 min at 19:56:06 on 11-Mar-2016

RESULT for glamlasso_1.0.tar.gz : success (68 of 202, 66 good, 2 bad) -- Now 17:25:01 This 45.2 sec, Avg 67.1 sec, exp. finish in 150 min at 19:54:59 on 11-Mar-2016

RESULT for glcm_1.6.1.tar.gz : success (69 of 202, 67 good, 2 bad) -- Now 17:25:35 This 33.9 sec, Avg 66.7 sec, exp. finish in 147.8 min at 19:53:22 on 11-Mar-2016

RESULT for glmgraph_1.0.3.tar.gz : success (70 of 202, 68 good, 2 bad) -- Now 17:26:50 This 75 sec, Avg 66.8 sec, exp. finish in 146.9 min at 19:53:46 on 11-Mar-2016

RESULT for GMCM_1.2.2.tar.gz : success (71 of 202, 69 good, 2 bad) -- Now 17:28:01 This 70.5 sec, Avg 66.8 sec, exp. finish in 145.9 min at 19:53:57 on 11-Mar-2016

RESULT for gmum.r_0.2.1.tar.gz : failure (72 of 202, 69 good, 3 bad) -- Now 17:28:01 This 0.5 sec, Avg 65.9 sec, exp. finish in 142.8 min at 19:50:50 on 11-Mar-2016

RESULT for gmwm_2.0.0.tar.gz : success (73 of 202, 70 good, 3 bad) -- Now 17:31:30 This 209.2 sec, Avg 67.9 sec, exp. finish in 145.9 min at 19:57:27 on 11-Mar-2016

RESULT for gMWT_1.0.tar.gz : success (74 of 202, 71 good, 3 bad) -- Now 17:32:20 This 50 sec, Avg 67.6 sec, exp. finish in 144.3 min at 19:56:38 on 11-Mar-2016

RESULT for GPvam_3.0-3.tar.gz : success (75 of 202, 72 good, 3 bad) -- Now 17:33:36 This 75.2 sec, Avg 67.7 sec, exp. finish in 143.4 min at 19:56:59 on 11-Mar-2016

RESULT for gRain_1.2-5.tar.gz : success (76 of 202, 73 good, 3 bad) -- Now 17:34:59 This 83.5 sec, Avg 67.9 sec, exp. finish in 142.7 min at 19:57:41 on 11-Mar-2016

RESULT for graphicalVAR_0.1.3.tar.gz : success (77 of 202, 74 good, 3 bad) -- Now 17:36:25 This 86.3 sec, Avg 68.2 sec, exp. finish in 142.1 min at 19:58:29 on 11-Mar-2016

RESULT for gRbase_1.7-5.tar.gz : success (78 of 202, 75 good, 3 bad) -- Now 17:39:05 This 159.8 sec, Avg 69.4 sec, exp. finish in 143.3 min at 20:02:26 on 11-Mar-2016

RESULT for gRim_0.1-17.tar.gz : success (79 of 202, 76 good, 3 bad) -- Now 17:40:29 This 83.3 sec, Avg 69.5 sec, exp. finish in 142.5 min at 20:03:02 on 11-Mar-2016

RESULT for growcurves_0.2.4.0.tar.gz : success (80 of 202, 77 good, 3 bad) -- Now 17:44:12 This 223.3 sec, Avg 71.5 sec, exp. finish in 145.3 min at 20:09:30 on 11-Mar-2016

RESULT for growfunctions_0.12.tar.gz : success (81 of 202, 78 good, 3 bad) -- Now 17:47:18 This 185.9 sec, Avg 72.9 sec, exp. finish in 147 min at 20:14:15 on 11-Mar-2016

RESULT for GSE_3.3.tar.gz : success (82 of 202, 79 good, 3 bad) -- Now 17:48:11 This 53.7 sec, Avg 72.6 sec, exp. finish in 145.3 min at 20:13:28 on 11-Mar-2016

RESULT for hawkes_0.0-4.tar.gz : success (83 of 202, 80 good, 3 bad) -- Now 17:48:37 This 25.9 sec, Avg 72.1 sec, exp. finish in 142.9 min at 20:11:34 on 11-Mar-2016

RESULT for HLMdiag_0.3.1.tar.gz : success (84 of 202, 81 good, 3 bad) -- Now 17:50:18 This 101.1 sec, Avg 72.4 sec, exp. finish in 142.4 min at 20:12:44 on 11-Mar-2016

RESULT for HSAR_0.3.6.tar.gz : success (85 of 202, 82 good, 3 bad) -- Now 17:52:08 This 109.9 sec, Avg 72.9 sec, exp. finish in 142.1 min at 20:14:13 on 11-Mar-2016

RESULT for hsphase_2.0.1.tar.gz : success (86 of 202, 83 good, 3 bad) -- Now 17:53:03 This 54.5 sec, Avg 72.6 sec, exp. finish in 140.5 min at 20:13:30 on 11-Mar-2016

RESULT for hypervolume_1.4.1.tar.gz : failure (87 of 202, 83 good, 4 bad) -- Now 17:53:21 This 18.4 sec, Avg 72 sec, exp. finish in 138 min at 20:11:24 on 11-Mar-2016

RESULT for iBATCGH_1.3.tar.gz : success (88 of 202, 84 good, 4 bad) -- Now 17:55:55 This 153.9 sec, Avg 73 sec, exp. finish in 138.6 min at 20:14:32 on 11-Mar-2016

RESULT for icamix_1.0.4.tar.gz : success (89 of 202, 85 good, 4 bad) -- Now 17:56:29 This 34.2 sec, Avg 72.5 sec, exp. finish in 136.6 min at 20:13:04 on 11-Mar-2016

RESULT for iccbeta_1.0.tar.gz : success (90 of 202, 86 good, 4 bad) -- Now 17:57:27 This 57.8 sec, Avg 72.4 sec, exp. finish in 135.1 min at 20:12:31 on 11-Mar-2016

RESULT for iLaplace_1.0.0.tar.gz : success (91 of 202, 87 good, 4 bad) -- Now 17:57:57 This 29.5 sec, Avg 71.9 sec, exp. finish in 133 min at 20:10:56 on 11-Mar-2016

RESULT for immer_0.4-0.tar.gz : success (92 of 202, 88 good, 4 bad) -- Now 17:59:32 This 95 sec, Avg 72.1 sec, exp. finish in 132.2 min at 20:11:46 on 11-Mar-2016

RESULT for JAGUAR_3.0.0.tar.gz : success (93 of 202, 89 good, 4 bad) -- Now 18:00:46 This 74.1 sec, Avg 72.2 sec, exp. finish in 131.1 min at 20:11:51 on 11-Mar-2016

RESULT for jmcm_0.1.1.0.tar.gz : success (94 of 202, 90 good, 4 bad) -- Now 18:01:59 This 72.8 sec, Avg 72.2 sec, exp. finish in 129.9 min at 20:11:52 on 11-Mar-2016

RESULT for jmotif_1.0.2.tar.gz : success (95 of 202, 91 good, 4 bad) -- Now 18:02:30 This 31.7 sec, Avg 71.7 sec, exp. finish in 127.9 min at 20:10:26 on 11-Mar-2016

RESULT for kdecopula_0.5.0.tar.gz : success (96 of 202, 92 good, 4 bad) -- Now 18:04:09 This 98.8 sec, Avg 72 sec, exp. finish in 127.2 min at 20:11:23 on 11-Mar-2016

RESULT for Langevin_1.1.1.tar.gz : success (97 of 202, 93 good, 4 bad) -- Now 18:04:49 This 40.4 sec, Avg 71.7 sec, exp. finish in 125.5 min at 20:10:17 on 11-Mar-2016

RESULT for lpme_1.0.1.tar.gz : success (98 of 202, 94 good, 4 bad) -- Now 18:05:26 This 36.6 sec, Avg 71.3 sec, exp. finish in 123.6 min at 20:09:05 on 11-Mar-2016

RESULT for lsgl_1.2.0.tar.gz : success (99 of 202, 95 good, 4 bad) -- Now 18:07:09 This 103.3 sec, Avg 71.7 sec, exp. finish in 123 min at 20:10:10 on 11-Mar-2016

